nummer;artiest;titel
836;Jimi Hendrix;Hey Joe
835;Steernvanger;Het zel weer veurjoar worden
834;Enya;Orinoco flow
833;The Cranberries;Zombie
832;ABBA;Lay all your love on me
831;Wia Buze;De dag woarop dien moeke staarft
830;Van Morrison;Brown eyed girl
829;Burdy;Acropolis Adieu
828;Venice;The family tree
827;Wat Aans! & Michael Hoppentocht;Proat toch Grunnegs met mie
826;George Baker Selection;Little green bag
825;Kansas;Dust in the wind
824;Frans Bauer;Bij ieder afscheid valt een traan
823;U2;Pride
822;De Troebadoers;Niks aan de kop
821;Wings;Mull of Kintyre
820;De Dijk;Binnen zonder kloppen
819;Otis Redding;(Sittin' on) The dock of the bay
818;Eddy Koekkoek;Zalstoe altied bie mie blieven
817;Johnny Cash;I walk the line
816;Phil Collins;Another day in paradise
815;Freddy Fender;Before the next teardrop falls
814;Voorheen De Bende & Pazzipanten;Drij cowboys
813;Frank Sinatra;My way
812;Teddy Swims;Lose control
811;Ultravox;Vienna
810;Harry Niehof;Welkom wichtje
809;Bruce Springsteen;Badlands
808;Kraantje Pappie feat. Joshua Nolet;Liefde in de lucht
807;Marlene Bakker;Kloarwakker
806;Coldplay feat. Avicii;A sky full of stars
805;Elvis Presley;Are you lonesome tonight
804;Erwin & Deborah;Sterren in mijn nacht
803;Douwe Bob;I believe
802;Ren‚ Becker;Als een komeet
801;Bert Hadders & De Nozems;Volluk!
800;Eagles;Tequila sunrise
799;Jannes;Dam dam
798;De Bende van Baflo Bill;Koffie in de wind
797;Paul Simon;Graceland
796;Erwin de Vries;Dicht tegen mie aan
795;Jannes;Meer dan 'n vriend
794;Wat Aans!;Bingo
793;The Beatles;Blackbird
792;Harry Niehof & Los Bomberos;Cuba blues
791;Mannekoor Karrespoor;Mooi man
790;ABBA;Super trouper
789;Robert Long;Kalverliefde
788;Blondie;Denis
787;Demis Roussos;My friend the wind
786;Wat Aans!;Van Noord 2
785;Fleetwood Mac;Everywhere
784;Suzan & Freek;Goud
783;B‚ Schmaal;Opa
782;Queen & George Michael;Somebody to love
781;Erwin de Vries;Bemui die
780;Burdy;M'n vriend
779;Alex Luttjeboer;Zunne op de kop
778;Johnny Cash;San Quentin
777;Marlene Bakker;Golven
776;Meat Loaf;I'd do anything for love
775;Irene Wilkens & Sikkom Kult;Wat west is
774;Claudia de Breij & Waylon;Mis je zo graag
773;Billy Joel;Goodnight Saigon
772;Mooi Wark;Van het platteland
771;The Beatles;Here comes the sun
770;Henk Wijngaard;Beun de beunhaas
769;De Troebadoers;Noar hoes
768;Eagles;Take it easy
767;Bert Hadders & De Nozems;Woar blift de zummer?
766;Erwin de Vries;Blief nou
765;Simon & Garfunkel;Mrs. Robinson
764;Nick & Simon;Kijk omhoog
763;De Stroatklinkers;As t boeten st”rmt
762;ABBA;Gimme! Gimme! Gimme!
761;Rob de Nijs;Zet een kaars voor je raam
760;Edwin Jongedijk;Astoe hier noast mie ligst
759;Joe Cocker;Unchain my heart
758;Benny Neyman;Vrijgezel
757;Krzysztof Groen;Noar de volgende ronde
756;Scorpions;Wind of change
755;Wia Buze;Doe heurst hier bie mie
754;Queen;We are the champions
753;Erwin de Vries;Ik ben de man
752;Metejoor & Hannah Mae;Wat wil je van mij
751;Toto;Rosanna
750;Rita Hovink;Laat me alleen
749;Bee Gees;Words
748;Het Goede Doel;Vriendschap
747;Band Aid;Do they know it's Christmas?
746;Doe Maar;Sinds 1 dag of 2 (32 jaar)
745;Kensington;Uncharted
744;B‚ Schmaal;Loater
743;The Common Linnets;Calm after the storm
742;Ren‚ Karst & Stef Ekkel;Liever te dik in de kist
741;De Stroatklinkers;Dr binnen veul mooie wichter in Grunnen
740;Bon Jovi;Livin' on a prayer
739;Ennio Morricone;Once upon a time in the west
738;Diggy Dex feat. JW Roy;Treur niet (ode aan het leven)
737;Racoon;Love you more
736;Guus Meeuwis;Tranen gelachen
735;Rob de Nijs;Malle Babbe
734;Eagles;New kid in town
733;Jan Henk de Groot & Marlene Bakker;Noeit meer missen
732;Harry Niehof & Los Bomberos;Grunnen leeft
731;Orchestral Manoeuvres in the Dark;Maid of Orleans
730;Dik Fabree;Kolle vouten
729;Splitsing;Wind en zeilen
728;Johan Raspe;Siene Praai
727;Queen & David Bowie;Under pressure
726;Boetenbaintjes;Achter roomse kerk
725;De Dijk;Mag het licht uit
724;Fats Domino;Blueberry hill
723;Frans Bauer & Marianne Weber;De regenboog
722;The Scene;Iedereen is van de wereld
721;Juliane Werding;Geh' nicht in die Stadt (heut' Nacht)
720;Normaal;Net as gisteren
719;Wat Aans!;Bie Vindicat
718;Pearl Jam;Alive
717;Jan Henk de Groot;Massey Ferguson
716;Bob Heidema;Rondje Grunnen
715;ABBA;Knowing me, knowing you
714;U2;Where the streets have no name
713;Nena & Kim Wilde;Anyplace, anywhere, anytime
