nummer;artiest;titel
279;Deheleboel;Op fietse deur Grunnen
278;The Beatles;Hey Jude
277;Adele;Rolling in the deep
276;Henk Wijngaard;'n Sneeuwwitte bruidsjurk
275;P‚ Daalemmer & Rooie Rinus;De plattelandsvrouwen
274;Matthias Reim;Verdammt ich lieb' dich
273;Erwin de Vries;Tik tok dans mit mie
272;Irene Wilkens & Martin Blok;Schrai mor nait mien laif
271;BZN;Mon amour
270;Marlene Bakker;Zolaank
269;Disturbed;The sound of silence
268;Het Sneeuwbaltrio;Ad‚, m'n kleine Paloma
267;Wia Buze;Grunnens laid
266;Peter Fox;Haus am See
265;Erwin de Vries;Hou mout dat nou
264;TikTok Tammo;Samen naar de Euroborg
263;Freddy Mercury & Montserrat Caball‚;Barcelona
262;George Baker Selection;Paloma blanca
261;De Troebadoers;Kon t aaltied mor zo blieven
260;Burdy;Op de riksja deur Grunnen
259;Toto;Africa
258;Klaas Spekken;Laand woar ik bin geboren
257;Arnold Veeman & Noordpool Orkest;Mien Grunneger Stad
256;Bruce Springsteen;Glory days
255;Deheleboel;Broodje shoarma
254;Alje van Bolhuis & Wia Buze;As ik denk an die
253;Boney M;Rivers of Babylon
252;New Adventures;Come on
251;Ede Staal;Zo mouvve t holn
250;Andrea Bocelli & Sarah Brightman;Time to say goodbye (con te partiro)
249;Wia Buze;Lydia
248;Guns n' Roses;Sweet child o'mine
247;ABBA;Thank you for the music
246;Burdy;De hypnotiseur
245;Ramses Shaffy;Laat me
244;Jan Henk de Groot;Opa kin alles
243;Creedence Clearwater Revival;I put a spell on you
242;Wat Aans!;Uut Grunn
241;Peter Schaap;Adem mijn adem
240;TikTok Tammo;Free the bietn
239;Elvis Presley;Always on my mind
238;Jaap Reesema;Grijs
237;Boudewijn de Groot;De vondeling van Ameland
236;The Doors;Riders on the storm
235;The Beatles;Yesterday
234;UB40;Red red wine
233;Liesbeth List & Ramses Shaffy;Pastorale
232;Jan Smit & 3Js;(Die man is) Verliefd
231;Golden Earring;Twilight zone
230;Benny Neyman;Waarom fluister ik je naam nog
229;Moody Blues;Nights in white satin
228;Jan Henk de Groot;Hoeske aan de Krommewiek
227;John Miles;Music
226;Elvis Presley;Suspicious minds
225;Bruce Springsteen;Tougher than the rest
224;Marlene Bakker;Raif
223;Guus Meeuwis;Brabant
222;Bruce Springsteen;Born in the USA
221;Elvis Presley;In the ghetto
220;Daisz;Laat ze maar denken
219;The Animals;House of the rising sun
218;Olaf Vos;Aaierbaal
217;Racoon;Oceaan
216;Pink Floyd;Another brick in the wall
215;Johnny Cash;Ring of fire
214;De Specials;FC Groningen, laat ons weer eens juichen!
213;Dire Straits;Walk of life
212;Dani‰l Lohues;Elk mens die hef zich 'n kruus te dragen
211;Golden Earring;When the lady smiles
210;The Javelins & P‚ en Rinus;Weerom noar de sixties
209;Prince & The Revolution;Purple rain
208;Hail Gewoon;Soep, vlees en pudding
207;Bruce Springsteen;Dancing in the dark
206;Nena;99 Luftballons
205;Irene Wilkens & Edwin Jongedijk & Sikkom Kult;Zundagskind
204;Floor Jansen & Henk Poort;Phantom of the opera
203;The Beatles;Let it be
202;Johan Raspe;Sapmeer is aans
201;Rob de Nijs;Banger hart
200;Piet Veerman;Sailin' home
199;De Tuutjefloiters;In t fluustern van de wind
198;Bl?f feat. Geike Arnaert;Zoutelande
197;Eagles;Desperado
196;P‚ Daalemmer & Rooie Rinus;Hee doe (live)
195;Jannes;Ga dan
194;Rammstein;Engel
193;Lucas & Gea Hulshof;Ik zal dansen op je bruiloft
192;Bruce Springsteen;My hometown
191;Mooi Wark;In de blote kont
190;Josien Bakker;Mien Westerwolde
189;Van Dik Hout;Stil in mij
188;Edwin Jongedijk & Marlene Bakker;Ofschaaid
187;Voorheen De Bende;Heracliden oet
186;Queen;Love of my life
185;Swinder;Noar Stad
184;Rob de Nijs;Het werd zomer
183;P‚ Daalemmer & Rooie Rinus;Lopster toren
182;Klein Orkest;Over de muur
181;Wat Aans! feat. Wia Buze;Grunnegs hoop
180;P‚ Daalemmer & Rooie Rinus;Schiermonnikoog
179;Mooi Wark;Warkende helden
178;Deheleboel;Winkeln in Winschoten
177;Dire Straits;Sultans of swing
176;Erwin de Vries;Mis die
175;Neil Diamond;Sweet Caroline
174;Boudewijn de Groot;Testament
173;Jannes;Ga maar weg
172;B‚ Schmaal;Zwait en zwoare sjek
171;The Rolling Stones;Angie
170;BZN;Just an illusion
169;AC/DC;Whole lotta Rosie
168;Wat Aans!;Dik doun
167;Wia Buze & Klaas Spekken;Zunder die
166;Andr‚ Hazes;Bloed, zweet en tranen
165;ABBA;The winner takes it all
164;P‚ Daalemmer & Rooie Rinus;Zondagoavendblues
163;Rob de Nijs;Foto van vroeger
162;Led Zeppelin;Stairway to heaven
161;Ede Staal;De nacht
160;Wia Buze;Mien wad, mien stilte
159;The Cats;Lea
158;Erwin de Vries;Kapsalon Anita
157;ABBA;I have a dream
156;De Pompers;Grunneger laand
155;Pink Floyd;Wish you were here
154;P‚ Daalemmer & Rooie Rinus;Jelle (gaat lekker)
153;Wia Buze;Ik mag die aibels geern
152;Erwin de Vries;Grunneger wicht
151;Coldplay;Fix you
150;Ro-d-ys;Just fancy
149;Ede Staal;Termunterziel
148;Marlene Bakker;Hai hai
147;Creedence Clearwater Revival;Who'll stop the rain
146;P‚ Daalemmer & Rooie Rinus;Framenummer
145;Normaal;Deurdonderen
144;Steernvanger;Geef mie zun
143;Ede Staal;Ik heb t hier bekeken
142;Herman Brood;Saturday night
141;Rob de Nijs;Alles wat ademt
140;Andr‚ Hazes;Kleine jongen
139;Henk Wijngaard;Met de vlam in de pijp
138;Billy Joel;Piano man
137;Burdy Martin & Tjeerd;Ik ben een Noorderling
136;Wat Aans!;Woaromdatten!?
135;AC/DC;Highway to hell
134;Wia Buze;Beste mor weer
133;Deheleboel;Winschoterdaip
132;John Denver;Take me home country roads
131;Ede Staal;As t boeten st”rmt
130;Erwin de Vries;Oompie Jan
129;Guns n' Roses;November rain
128;Krzysztof Groen;Op riddel
127;Sijtse Scheeringa;Mien olle Puch
126;Bruce Springsteen;The river
125;Jan Smit & Marco Schuitmaker;Van Goes tot Purmerend
124;Metallica;Nothing else matters
123;Andr‚ Hazes;De vlieger
122;Dire Straits;Brothers in arms
121;Tiktok Tammo & Mooi Wark;De bietn blues
120;Bert Hadders & De Nozems;Poolse bruid
119;Wat Aans!;Sjomp
118;John Lennon;Imagine
117;Alex Vissering;Opa waist
116;Procol Harum;A whiter shade of pale
115;Ren‚ Beverwijk;Kilo of acht
114;Creedence Clearwater Revival;Bad moon rising
113;Harry Niehof;Altied onderwegens
112;Ede Staal;Life is more than a song
111;Leonard Cohen;Hallelujah
110;Jan Henk de Groot;Vuurtje kieken
109;Bert Hadders & De Nozems;Elvis, keuning van de Bunermond
108;P‚ Daalemmer & Rooie Rinus;Z-side
107;IsOokSchitterend!;Voltooid verleden tijd
106;Ede Staal;Help me through the night
105;Creedence Clearwater Revival;Have you ever seen the rain
104;Wat Aans!;Kloede
103;AC/DC;Thunderstruck
102;Ro-d-ys;Take her home
101;Ede Staal;Mien lutje laiverd
100;Jannes;Mijn naam is Jannes
99;Burdy;Ramona Ramona
98;Fleetwood Mac;Go your own way
97;Lucas & Gea Hulshof;Steeds weer huil je
96;Ede Staal;Wat moakt het oet
95;Marlene Bakker;Waarkhanden
94;P‚ Daalemmer & Rooie Rinus;Gr”nnens laid
93;P‚ Daalemmer & Rooie Rinus;Alcohol
92;Ede Staal;k Heb zeubranden, k heb koeskillen
91;ABBA;Dancing queen
90;Tiktok Tammo;Doe bist mien moat
89;Mooi Wark;Doodse stilte
88;Wat Aans!;Roelfina
87;Alex Vissering;Westerwold
86;The Cats;One way wind
85;Herman Bonthuis;Moeke k bin n dail van die
84;Rieks Schuring;As ik votgoa
83;Jan Henk de Groot;Kielsterachterweg
82;Arnold Veeman & The Yellowish Summer Evening;Mien lutje laif
81;Ede Staal;Geef mie dien blues
80;Deep Purple;Child in time
79;Lianne Abeln;Mien slichte laand
78;Steernvanger;Mooie dag
77;Normaal;Oerend hard
76;Deheleboel;Widde hoeske, leutje Ulsda
75;Claudia de Breij;Mag ik dan bij jou
74;Ede Staal;De hoaven van Delfziel
73;Deheleboel;Miss Scheemda
72;Simon & Garfunkel;The sound of silence
71;Voorheen De Bende & Pazzipanten;Bie de Lidl
70;Burdy;Sayonara
69;Simon & Garfunkel;Bridge over troubled water
68;Stef Bos;Papa
67;Erwin de Vries;Leef t leven
66;Dani‰l Lohues;Prachtig mooie dag
65;Wia Buze;Mag ik din bie die
64;Wim Sonneveld;Het dorp
63;Cuby & The Blizzards;Window of my eyes
62;Di-rect;Soldier on
61;Ede Staal;Veujoar in de kop
60;Wat Aans! & Burdy;Miljonair
59;De Bende van Baflo Bill;Dreents liedtie
58;Golden Earring;Radar love
57;Alex Vissering;Westerwolle
56;Harry Niehof;Rimpeling
55;Skik;Op fietse
54;Askay Brothers;Naargns beter as thoes
53;Meat Loaf;Paradise by the dashboard light
52;Ede Staal;Nij Stoatenziel
51;P‚ Daalemmer & Rooie Rinus;Baukelien
50;Voorheen De Bende & Pazzipanten;Doen in Oskerd
49;Jannes;Adio, amore, adio
48;Queen;Bohemian rhapsody
47;Ede Staal;Wie schenken ons nog ain in
46;Roon Staal;Help me through the night
45;Burdy;Welkom in de bus
44;Ede Staal;Vrouger
43;Eagles;Hotel California
42;Wat Aans!;Trilploat
41;Miss Montreal;Door de wind
40;Alex Vissering;Lutje wicht
39;Boudewijn de Groot;Avond
38;Wia Buze;Ik kom van Ziel
37;De Troebadoers;Riekdom
36;Dani‰l Lohues;Hier kom ik weg
35;Ede Staal;Het twijde perron
34;Yves Berendse;Terug in de tijd
33;Peter Maffay;Du
32;Ede Staal;Het zel weer veurjoar worden
31;Burdy;De vissers van Zoltkamp
30;Bert Hadders & De Nozems;Beloofde laand
29;Arno van der Heyden & Trio Put;De Vief
28;Helene Fischer;Atemlos durch die Nacht
27;Ede Staal;Genoat
26;Erwin de Vries;Doe
25;P‚ Daalemmer & Rooie Rinus;Carnaval in t Noorden
24;Ede Staal;Credo-mien bestoan
23;Jannes;Zwevend naar 't geluk
22;Ralf Poelman;Groningen (het gras van het Noorderplantsoen)
21;Alex Vissering;Mien machteg Wad
20;Ede Staal;Mien Grunningerlaand
19;Ede Staal;As vaaier woorden
18;Trap Aan!;Ien de keet
17;Jan Henk de Groot;Noar Stad
16;Ede Staal;Doar bluit mien eerappellaand
15;Ede Staal;Zalstoe aaltied bie mie blieven
14;Edwin Jongedijk;As ik de kaans zol kriegen
13;Danny Vera;Roller coaster
12;Burdy;Mit mien ogen dicht
11;Ede Staal;Het Hoogelaand
10;Erwin de Vries;Maffiosa
9;P‚ Daalemmer & Rooie Rinus;Hoornse plas
8;Jan Henk de Groot;Mamme van Michel
7;Ede Staal;Mien toentje
6;Marco Schuitmaker;Engelbewaarder
5;Wat Aans!;Wakker in Grunn
4;Deheleboel;De polder
3;Wia Buze;De roos
2;Alex Vissering;De groanrepubliek
1;Ede Staal;Het het nog nooit zo donker west
