positie;artiest;titel;;;;
577;Rob de Nijs;Wat als later nu is;;;;
576;UB40;Kingston town;;;;
575;Ede Staal;Hear my song;;;;
574;Krzysztof Groen;Zotterdagmiddag loat;;;;
573;Electric Light Orchestra;Mr. Blue Sky;;;;
572;Normaal;Alie;;;;
571;Nick & Simon;Oostenwind;;;;
570;Burdy;Kiender van de eerde;;;;
569;Danny Vera;Pressure makes diamonds;;;;
568;Supertramp;School;;;;
567;Wia Buze;Doe heurst hier bie mie;;;;
566;ABBA;Fernando;;;;
565;P Daalemmer & Rooie Rinus;Afscheidslied (Loeks);;;;
564;Queen;We will rock you;;;;
563;Son Mieux;Multicolor;;;;
562;De Troebadoers;Kon t aaltied mor zo blieven;;;;
561;Sting;Fields of gold;;;;
560;Kiss;I was made for loving you;;;;
559;Marlene Bakker;Genog veur mie;;;;
558;Claudia de Breij & Waylon;Mis je zo graag;;;;
557;Guns n' Roses;Paradise city;;;;
556;Leon Moorman;Noar huus;;;;
555;Bob Marley & The Wailers;No woman no cry;;;;
554;Andr Hazes;Het is koud zonder jou;;;;
553;Erwin de Vries;Tussen Schanse en Stad;;;;
552;Jan Smit;Laura;;;;
551;David Bowie;Heroes;;;;
550;B Schmaal;Opa;;;;
549;Mud;Lonely this Christmas;;;;
548;3Js;Wiegelied;;;;
547;The Alan Parsons Project;Old and wise;;;;
546;Boudewijn de Groot;Verdronken vlinder;;;;
545;Simple Minds;Belfast child;;;;
544;VanDelden;Lekker miezulf;;;;
543;Queen;The show must go on;;;;
542;Elton John;Nikita;;;;
541;Erwin de Vries;De tocht van de noakende zunderling;;;;
540;Pink Floyd;Comfortably numb;;;;
539;The Kinks;Lola;;;;
538;Rob de Nijs;Malle Babbe;;;;
537;Alex Vissering;Hoeln as n wolf;;;;
536;Johnny Cash;Hurt;;;;
535;Bruce Springsteen;I'm on fire;;;;
534;Danil Lohues;Annelie;;;;
533;Neil Diamond;I am... I said;;;;
532;Burdy & Vrienden;Daar zijn we vrienden voor;;;;
531;Leonard Cohen;Suzanne;;;;
530;Queen;Don't stop me now;;;;
529;Snelle & Maan;Blijven slapen;;;;
528;De Tuutjefloiters;Twij recht en twij noadjes;;;;
527;The Rolling Stones;You can't always get what you want;;;;
526;Andr Hazes;Geef mij je angst;;;;
525;Wia Buze;Doe heurst bie mie;;;;
524;Status Quo;Down down;;;;
523;P Daalemmer & Rooie Rinus;Zo ain as doe;;;;
522;Gerry & The Pacemakers;You'll never walk alone;;;;
521;Jan Smit;Als de morgen is gekomen;;;;
520;Elvis Presley;Love me tender;;;;
519;The Dubliners;Whiskey in the jar;;;;
518;De Troebadoers;Niks aan de kop;;;;
517;Chris Rea;Driving home for Christmas;;;;
516;B Schmaal;Woorden zeggen nait alles;;;;
515;Ren Karst & Stef Ekkel;Liever te dik in de kist;;;;
514;Cuby & The Blizzards;Somebody will know someday;;;;
513;I.O.S.;Altied wel aine;;;;
512;Meau;Dat heb jij gedaan;;;;
511;Erwin de Vries;Ik ben de man;;;;
510;Jaap Reesema & Pommelien Thijs;Nu wij niet meer praten;;;;
509;Within Temptation;Ice queen;;;;
508;Marco Borsato;Afscheid nemen bestaat niet;;;;
507;Andr Rieu;The second waltz;;;;
506;U2;Where the streets have no name;;;;
505;De Tuutjefloiters;Harregat;;;;
504;Jannes;Meer dan 'n vriend;;;;
503;Alex Vissering;Hoaven van Delfziel;;;;
502;Pink Floyd;Shine on you crazy diamond;;;;
501;The Scene;Iedereen is van de wereld;;;;
500;Andr van Duin;Als de zon schijnt;;;;
499;Drafi Deutscher;Marmor, Stein und Eisen bricht;;;;
498;Dana Winner;Westenwind;;;;
497;Wat Aans!;Half stront, half reeg'nwotter;;;;
496;John Denver;Thank God I'm a country boy;;;;
495;Johan Raspe;Ik goa mien aigen weg;;;;
494;Status Quo;Rockin' all over the world;;;;
493;Rob de Nijs;Zonder jou;;;;
492;Slade;Merry Xmas everybody;;;;
491;Wia Buze;Tabee mien laiverd;;;;
490;Neil Diamond;Beautiful noise;;;;
489;Henk Wijngaard;De stoere jongens uut t Noorden;;;;
488;Guns n' Roses;Sweet child o'mine;;;;
487;Frank Boeijen Groep;Kronenburg park;;;;
486;The Cats;Scarlet ribbons;;;;
485;Edwin Jongedijk;Astoe hier noast mie ligst;;;;
484;Ede Staal;I'm in the blues;;;;
483;Tom Jones;Green green grass of home;;;;
482;Burdy;Kom zing en dans met mij;;;;
481;Pussycat;Mississippi;;;;
480;Jan Henk de Groot;Bonney;;;;
479;Bruce Springsteen;Born in the USA;;;;
478;Andr Hazes & Paul de Leeuw;Droomland;;;;
477;Boudewijn de Groot;Jimmy (hoe sterk is de eenzame fietser);;;;
476;Erwin de Vries;Veenkolonioal;;;;
475;Cuby & The Blizzards;Appleknockers Flophouse;;;;
474;Stef Bos;Is dit nu later;;;;
473;Sijtse Scheeringa;Bloumen mien laive schat;;;;
472;Bob Marley & The Wailers;Three Little Birds;;;;
471;Diggy Dex feat. JW Roy;Treur niet (ode aan het leven);;;;
470;Rod Stewart;Sailing;;;;
469;Hail Gewoon;Vrumde gast;;;;
468;Youp van 't Hek;Flappie;;;;
467;The Rolling Stones;Sympathy for the devil;;;;
466;Marlene Bakker;Golven;;;;
465;John Denver;Calypso;;;;
464;Swinder;Twijde Hans;;;;
463;Jasper Wever & Boy;Laat me nooit alleen;;;;
462;John Miles;Music;;;;
461;Boetenbaintjes;Muziek deur drp;;;;
460;Creedence Clearwater Revival;Proud Mary;;;;
459;Harry Niehof & Los Bomberos;Grunnen leeft;;;;
458;Jaap Reesema;Alles komt goed;;;;
457;Deheleboel;Mis die zo;;;;
456;Zangeres Zonder Naam;Mexico;;;;
455;Scorpions;Wind of change;;;;
454;Burdy;M'n vriend;;;;
453;Willie Nelson;Always on my mind;;;;
452;Andr Hazes Jr.;Leef;;;;
451;Deep Purple;Smoke on the water;;;;
450;Marlene Bakker;Astoe t zain haarst;;;;
449;Cat Stevens;Morning has broken;;;;
448;Nick & Simon;Pak maar m'n hand;;;;
447;Dire Straits;Money for nothing;;;;
446;Danil Lohues;Baat bij muziek;;;;
445;ABBA;Mamma mia;;;;
444;U2;I still haven't found what I'm looking for;;;;
443;Paul de Leeuw;'k Heb je lief;;;;
442;Irene Wilkens & Sikkom Kult;Nog ainmoal daanzen mit die;;;;
441;Normaal;Mama woar is mien pils;;;;
440;Harrie Poeste & Trio Put;Ain twai drai (t gait om de neukerai);;;;
439;Waylon & Jan Smit;Tussen jou en mij;;;;
438;Wia Buze;Blief bie mie tot de mrgen;;;;
437;The Cure;A forest;;;;
436;Maan & Goldband;Stiekem;;;;
435;B Schmaal & Krzysztof Groen;Mag t wel lieden zo;;;;
434;Guus Meeuwis;Brabant;;;;
433;BZN;The old Calahan;;;;
432;Andr Hazes;Zij gelooft in mij;;;;
431;Wat Aans!;Ik ben een G;;;;
430;Nazareth;Love hurts;;;;
429;Marlene Bakker;Nijjoar;;;;
428;Bruce Springsteen;Tougher than the rest;;;;
427;ABBA;Thank you for the music;;;;
426;Kraantje Pappie feat. Joshua Nolet;Liefde in de lucht;;;;
425;Marlene Bakker;Het Hoogelaand;;;;
424;Elvis Presley;Can't help falling in love;;;;
423;De Pompers;Trots van het Noorden;;;;
422;Sinad O'Connor;Nothing compares 2u;;;;
421;Anita Meyer;Why tell me why;;;;
420;UB40;Red red wine;;;;
419;Guns n' Roses;Knockin' on heaven's door;;;;
418;B Schmaal & Krzysztof Groen;Kom mor op;;;;
417;TikTok Tammo;Bietn feest;;;;
416;The Cats;Marian;;;;
415;Peter Fox;Haus am See;;;;
414;Danil Lohues;Aoardig doen tegen mensen die niet aordig doen;;;;
413;Nick & Simon;Kijk omhoog;;;;
412;Wia Buze;De dag woarop dien moeke staarft;;;;
411;Leonard Cohen;So long Marianne;;;;
410;Queen & David Bowie;Under pressure;;;;
409;Erwin de Vries;Dicht bie mie;;;;
408;De Dijk;Als ze er niet is;;;;
407;Dire Straits;Telegraph Road;;;;
406;P Daalemmer & Rooie Rinus;Gehaktbal mit rooie kool;;;;
405;Boudewijn de Groot;Als de rook om je hoofd is verdwenen;;;;
404;Andr Hazes;Zeg maar niets meer;;;;
403;Status Quo;Roll over lay down;;;;
402;Wat Aans!;Batterij;;;;
401;Lady GaGa & Bradley Cooper;Shallow;;;;
400;Peter Schaap;Adem mijn adem;;;;
399;The Doors;Riders on the storm;;;;
398;Erwin de Vries;Prachteg Grunnen;;;;
